gen	nblocks	count
1	0	32
1	1	2905
1	2	955
1	3	728
1	4	302
1	5	68
1	6	9
1	7	1
2	0	917
2	1	1476
2	2	1492
2	3	819
2	4	229
2	5	56
2	6	10
2	8	1
3	0	2365
3	1	1497
3	2	766
3	3	279
3	4	74
3	5	19
4	0	3477
4	1	1057
4	2	346
4	3	89
4	4	26
4	5	5
5	0	4222
5	1	578
5	2	156
5	3	36
5	4	7
5	6	1
6	0	4613
6	1	309
6	2	68
6	3	8
6	4	2
